species,age,site,year,body_mass_g,reference
bairds sandpiper,adult,bylot,2016,67,"J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,72,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2016,161,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,83,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,83,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,79,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,106,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2017,188,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,95,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,92,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,106,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,102,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,104,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,106,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,96,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,96,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,102,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,104,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
pectoral sandpiper,adult,bylot,2017,94,"J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,102,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,102,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,94,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2017,99,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2019,160,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2019,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2019,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2019,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2019,170,"J.-F. Lamarre and J. Bêty, unpublished data"
parasitic jaeger,adult,bylot,2009,463,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,464,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,523,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,435,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,448,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,454,"J.-F. Therrien and G. Gauthier, unpublished data"
parasitic jaeger,adult,bylot,2009,428,"J.-F. Therrien and G. Gauthier, unpublished data"
