"","distance"
"269",21.3866048866026
"270",21.763670275691
"271",21.7739653306147
"272",21.7894414528903
"273",21.8668073770088
"274",22.0946724488582
"275",22.2654990620822
"276",22.7758267227484
"277",22.8101833426604
"278",22.8539660133096
"279",22.938674088277
"280",23.0918203682906
"281",23.09314522884
"282",23.1377349740737
"283",23.175106387484
"284",23.1883984742465
"285",23.1994801830608
"286",23.2249628946645
"287",23.2425335325443
"288",23.2484070825639
"289",23.4264899811943
"290",23.4360555227093
"291",23.526397147968
"292",23.646876487501
"293",23.6716986844551
"294",23.9686546477954
"295",24.1233878524884
"296",24.1328751767833
"297",24.1701869406022
"298",24.2311456559937
"299",24.3310501211929
"300",24.4401946949699
"301",24.5643111138569
"302",24.5643111138569
"303",24.5643111138569
"304",24.5643111138569
"305",24.5643111138569
"306",24.5643111138569
"307",24.5643111138569
"308",24.5643111138569
"309",24.5809739866447
"310",24.6864703353384
"311",24.8558561448384
"312",24.8975461598585
"313",25.0102334153007
"314",25.0798062746286
"315",25.0836113011854
"316",25.3431945372667
"317",25.3431945372667
"318",25.3600731799842
"319",25.6081443210636
"320",25.6160859376328
"321",25.6160859376328
"322",25.6574062828322
"323",25.7051762942185
"324",25.7210604087797
"325",25.9836558951988
"326",26.0039965730103
"327",26.0976000717269
"328",26.1279911441349
"329",26.2312022951584
"330",26.4620064932035
"331",26.6745005323559
"332",26.6976103697401
"333",26.7490744346829
"334",26.9682135484022
"335",26.9764996503507
"336",27.0131717366181
"337",27.1517315004041
"338",27.1517315004041
"339",27.1686905690934
"340",27.178177831701
"341",27.3459084036871
"342",27.3550619969577
"343",27.3724224901967
"344",27.5346606504437
"345",27.6162683543744
"346",27.6454382914374
"347",27.7058314121102
"348",27.7184766822639
"349",27.7697757195489
"350",27.8094915971578
"351",27.8661231565998
"352",28.202561243575
"353",28.251167551692
"354",28.5170113881619
"355",28.5275443270163
"356",28.9355603075006
"357",29.0465470169994
"358",29.1547594742265
"359",29.2227148902832
"360",29.354089162687
"361",29.4410007999149
"362",29.4803941026881
"363",29.5779142935909
"364",29.586090411744
"365",29.6992664609
"366",29.8978900804038
"367",30.0137340594209
"368",30.0164097093255
"369",30.3014545787263
"370",30.4567573311524
"371",30.5070932289759
"372",30.5440732649792
"373",30.556158749435
"374",30.5690663024239
"375",30.9965711208301
"376",31.0521161180408
"377",31.0596398150803
"378",31.0752664787655
"379",31.1349133622242
"380",31.2359681516298
"381",31.3627363898528
"382",31.4286648063183
"383",31.5044087021003
"384",31.5310578190518
"385",31.5504098163152
"386",31.7619982608599
"387",31.819244171118
"388",31.9288485436463
"389",31.9645628624085
"390",31.9863594624586
"391",32.0473990429641
"392",32.05557688432
"393",32.0899484923921
"394",32.1543883534194
"395",32.1801743777859
"396",32.4951874698496
"397",32.7149020654206
"398",32.7149020654206
"399",32.7363307746362
"400",33.0312692887684
"401",33.0801655350831
"402",33.1081278461861
"403",33.1189095938724
"404",33.3472146990165
"405",33.5660707613849
"406",33.7631513132736
"407",33.8582331144641
"408",33.9746593900938
"409",34.0173963839341
"410",34.1139083428024
"411",34.1877988221279
"412",34.2868029618698
"413",34.4107318275175
"414",34.4107318275175
"415",34.4320872271103
"416",34.6006814901495
"417",34.6006814901495
"418",34.61173949659
"419",34.61173949659
"420",34.6346322758318
"421",34.674237124713
"422",34.9378477121196
"423",35.0798726226114
"424",35.1374290755897
"425",35.3287667138361
"426",35.419576164279
"427",35.727926544339
"428",35.962740998247
"429",35.9629077086037
"430",36.0555127546399
"431",36.1263459211009
"432",36.2119764382597
"433",36.2353418639869
"434",36.3253029928552
"435",36.4594516658114
"436",36.5473233591751
"437",36.9268447065795
"438",37.1513086045554
