nest_id,species,year,zone
BUPA128,rough legged hawk,2019,study area
BUPA138,rough legged hawk,2019,study area
BUPA140,rough legged hawk,2019,study area
BUPA141,rough legged hawk,2019,study area
BUPA146,rough legged hawk,2019,study area
BUPA147a,rough legged hawk,2019,study area
BUPA149,rough legged hawk,2019,study area
BUPA154,rough legged hawk,2019,study area
BUPA156,rough legged hawk,2019,study area
BUPA157,rough legged hawk,2019,study area
BUPA159,rough legged hawk,2019,study area
BUPA161,rough legged hawk,2019,study area
BUPA162,rough legged hawk,2019,study area
BUPA163,rough legged hawk,2019,study area
BUPA304,rough legged hawk,2012,study area
BUPA307,rough legged hawk,2012,study area
BUPA308,rough legged hawk,2012,study area
BUPA329,rough legged hawk,2019,study area
BUPA332,rough legged hawk,2019,study area
BUPA404,rough legged hawk,2012,study area
BUPA413,rough legged hawk,2019,study area
BUS01,rough legged hawk,2006,study area
BUS02,rough legged hawk,2006,study area
BUS1,rough legged hawk,2004,study area
FAPE_304,peregrine falcon,2018,study area
FAPE_402,peregrine falcon,2018,study area
FAPE_403,peregrine falcon,2018,study area
FAU01,peregrine falcon,2006,study area
PEFA_AB01,peregrine falcon,2017,study area
PEFA_AB02,peregrine falcon,2017,study area
PEFA_AB03,peregrine falcon,2017,study area
PEFA_AB04,peregrine falcon,2017,study area
PEFA_FLP01,peregrine falcon,2017,study area
PEFA01,peregrine falcon,2008,study area
PEFA01,peregrine falcon,2009,study area
PEFA01,peregrine falcon,2010,study area
PEFA01,peregrine falcon,2011,study area
PEFA01,peregrine falcon,2013,study area
PEFA01,peregrine falcon,2018,study area
PEFA02,peregrine falcon,2008,study area
PEFA02,peregrine falcon,2010,study area
PEFA02,peregrine falcon,2013,study area
PEFA02,peregrine falcon,2018,study area
PEFA03,peregrine falcon,2008,study area
PEFA03,peregrine falcon,2013,study area
PEFA04,peregrine falcon,2008,study area
PEFA04,peregrine falcon,2013,study area
PEFA104,peregrine falcon,2012,study area
PEFA104,peregrine falcon,2014,study area
PEFA104,peregrine falcon,2015,study area
PEFA104a,peregrine falcon,2019,study area
PEFA106,peregrine falcon,2019,study area
PEFA107,peregrine falcon,2019,study area
PEFA301,peregrine falcon,2014,study area
