"year","foxid","id_merged_pair","sex","rep_status","area_argos","VAR","VAR.log","goose_category","centro_in_colony","lemming_density","lem_cat"
"2010","VMBB","VMBB","M","Breeder",24.1276236207714,11.5593792634241,0.0200620528051452,"outside with overlap","0",3.843,"High"
"2014","VMJV","VMJV","F","Breeder",6.49739010659169,0.582903968810712,0.0139517709934933,"inside colony","1",6.479,"High"
"2016","VMMM","VMMM","M","Breeder",24.1651933895734,7.65158540927463,0.0132361303888117,"outside colony","0",2.533,"High"
"2011","VMRR","MRBB","M","Breeder",33.8305693866649,10.1336547140517,0.00894526683431995,"outside colony","0",5.038,"High"
"2016","VOBR","VOBR","M","Breeder",24.8151635333394,5.48671087370829,0.00899363573244427,"outside colony","0",2.533,"High"
"2015","VOJV","VOJV","F","Breeder",31.1343085219357,9.62227980637384,0.0100272480560192,"outside colony","0",3.647,"High"
"2016","VORB","VORB","F","Breeder",14.772667483173,2.23927205792373,0.0103631859097428,"inside colony","1",2.533,"High"
"2011","VRBJ","VJBR","M","Breeder",10.9215669665051,2.04068147659749,0.0172871852532417,"inside colony","1",5.038,"High"
"2012","VRBJ","VJBR","M","Non-breeder",9.50737633304196,1.4780231181794,0.0165216042912767,"inside colony","1",0.087,"Low"
"2013","VRJB","VRJB","F","Non-breeder",20.04291042615,4.36767842448526,0.010984850726427,"outside colony","0",0.019,"Low"
"2014","VRJB","VRJB","F","Breeder",26.3187532706066,6.14394806681573,0.00895867530296819,"outside colony","0",6.479,"High"
"2016","VRJO","VRJO","M",NA,12.1770659073032,1.86312255800297,0.0126932687127919,"outside colony","0",2.533,"High"
"2015","VROB","VROB","M",NA,19.0486621645419,3.52624939622895,0.00981865245054013,"outside with overlap","0",3.647,"High"
"2014","VROO","BBVM","M","Breeder",15.031433379073,2.9604708647006,0.0132377304068001,"outside with overlap","0",6.479,"High"
"2008","VRRR","VRRR","M","Breeder",39.1511201726035,16.9248945834683,0.0111555104087743,"outside with overlap","0",2.812,"High"
"2008","VVBJ","RRRR1","M","Breeder",18.8778404058403,4.56479716794945,0.012944308035272,"inside colony","1",2.812,"High"
"2009","VVBJ","JJVB","M","Breeder",30.6878888084983,9.91377756803102,0.0106352355902923,"inside colony","1",0.141,"Low"
"2011","VVBR","VVBR","F","Non-breeder",27.647582019275,11.6763765748927,0.0154285992854546,"outside with overlap","0",5.038,"High"
"2012","VVBR","VVBR","F","Non-breeder",17.6151634696884,4.12227633865824,0.0134195887401812,"outside with overlap","0",0.087,"Low"
"2010","VVMM","VVMM","M","Breeder",32.9916955639122,11.1256878509889,0.0103158731293822,"inside colony","1",3.843,"High"
"2011","VVMM","MJBR","M","Breeder",15.054492728393,4.72668373186094,0.0210708171274434,"inside colony","1",5.038,"High"
"2015","VVOO","VVOO","F","Non-breeder",12.3422119058609,1.74545609270955,0.0115736203379644,"inside colony","1",3.647,"High"
"2015","VVOV","VVOV","M","Breeder",19.4988222279751,4.15194958894565,0.0110327195725007,"outside colony","0",3.647,"High"
"2016","VVOV","VVOV","M","Breeder",17.74783116454,3.04550311266504,0.00976859366568809,"outside colony","0",2.533,"High"
"2009","VVVM","JVJJ","M",NA,26.5708263230616,9.65340099919254,0.013813395459773,"inside colony","1",0.141,"Low"
